`#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2019 03 18 15 00  1.7  1.5 12.1  0.8  3.8   W   E      SWELL  6.3 281
2019 03 18 14 00  1.8  1.6 12.9  0.9  4.2   W   E      SWELL  6.4 273
2019 03 18 13 00  1.8  1.7 12.9  0.8  4.0   W   E      SWELL  6.9 267
2019 03 18 12 00  1.8  1.7 12.1  0.7  3.7   W   E      SWELL  7.1 277
2019 03 18 11 00  1.7  1.5 12.9  0.8  3.6   W   E      SWELL  6.3 274
2019 03 18 10 00  1.9  1.8 12.9  0.5  3.2   W   E      SWELL  8.0 270
2019 03 18 09 00  1.9  1.8 12.1  0.6  3.1   W   E      SWELL  7.5 273
2019 03 18 08 00  1.9  1.8 12.9  0.5  3.7   W   N      SWELL  8.5 267
2019 03 18 07 00  2.0  1.9 13.8  0.4  4.3   W   N      SWELL  9.4 266
2019 03 18 06 00  2.0  1.9 10.8  0.5  5.6   W   W      SWELL  9.1 274
2019 03 18 05 00  2.2  2.2 13.8  0.5  3.8   W   N      SWELL  9.4 271
2019 03 18 04 00  2.2  2.1 12.9  0.5  3.7   W   N      SWELL  8.6 278
2019 03 18 03 00  2.2  2.1 13.8  0.7  3.8 WNW   N      SWELL  8.0 291
2019 03 18 02 00  2.2  2.1 13.8  0.7  3.4   W   N      SWELL  8.1 272
2019 03 18 01 00  2.5  2.4 12.9  0.6  3.0   W   N      SWELL  8.8 271
2019 03 18 00 00  2.3  2.3 13.8  0.4  2.7 WNW NNE      SWELL  9.5 295
2019 03 17 23 00  2.4  2.4 13.8  0.4  5.3   W WSW      SWELL 10.3 271
2019 03 17 22 00  2.4  2.4 12.1  0.3  3.6   W   N      SWELL 10.5 274
2019 03 17 21 00  2.8  2.8 12.9  0.2  3.2   W NNE      SWELL 11.0 278
2019 03 17 20 00  2.7  2.7 12.9  0.3  2.9   W NNE      SWELL 10.5 276
2019 03 17 19 00  2.4  2.4 12.1  0.2  3.2   W NNE      SWELL 10.4 274
2019 03 17 18 00  2.6  2.6 14.8  0.3  2.9   W   N      SWELL 10.6 271
2019 03 17 17 00  2.5  2.5 12.9  0.3  3.0 WNW   N      SWELL 10.3 289
2019 03 17 16 00  3.0  3.0 16.0  0.3  2.9   W   N      SWELL 10.9 272
2019 03 17 15 00  2.8  2.8 16.0  0.3  2.9   W   N      SWELL 10.6 279
2019 03 17 14 00  3.1  3.1 16.0  0.3  3.0 WNW   N      SWELL 10.7 285
2019 03 17 13 00  2.5  2.5 14.8  0.3  2.7   W   N      SWELL 10.0 279
2019 03 17 12 00  2.8  2.8 14.8  0.4  4.3   W   W      SWELL 10.2 272
2019 03 17 11 00  2.7  2.7 16.0  0.2  3.6   W   W      SWELL 10.7 271
2019 03 17 10 00  2.6  2.6 16.0  0.2  4.2   W WSW      SWELL 11.5 280
2019 03 17 09 00  2.4  2.4 17.4  0.1  3.0   W WNW      SWELL 11.1 271
2019 03 17 08 00  2.3  2.3 17.4  0.1  2.9 WNW  NE      SWELL 11.3 285
2019 03 17 07 00  2.0  2.0 17.4  0.1  3.7   W WNW      SWELL 11.3 281
2019 03 17 06 00  1.7  1.7 17.4  0.1  3.6 WNW SSW      SWELL 10.6 300
2019 03 17 05 00  1.7  1.7 19.0  0.1  3.8   W  NW      SWELL 10.8 266
2019 03 17 04 00  1.5  1.5 19.0  0.1  3.7   W   W      SWELL 10.0 269
2019 03 17 03 00  1.5  1.5 12.9  0.2  3.4 WNW   W      SWELL  9.6 286
2019 03 17 02 00  1.4  1.4 12.9  0.2  3.7   W   W      SWELL  9.4 279
2019 03 17 01 00  1.5  1.5 12.9  0.2  3.7   W   W      SWELL  9.0 281
2019 03 17 00 00  1.3  1.3 11.4  0.2  3.6 WNW WSW      SWELL  8.5 285
2019 03 16 23 00  1.5  1.5 12.9  0.2  4.0 WNW WSW      SWELL  8.8 289
2019 03 16 22 00  1.5  1.4 12.9  0.2  3.8 WNW   W      SWELL  8.5 294
2019 03 16 21 00  1.6  1.6 12.1  0.2  3.3 WNW ENE      SWELL  8.8 283
2019 03 16 20 00  1.4  1.4 13.8  0.2  3.2 WNW   E      SWELL  8.6 298
2019 03 16 19 00  1.5  1.5 12.9  0.2  3.3 WNW ENE      SWELL  8.9 287
2019 03 16 18 00  1.6  1.5 12.1  0.2  3.3 WNW ENE      SWELL  9.3 286
2019 03 16 17 00  1.7  1.6 12.9  0.2  3.1 WNW ENE      SWELL  9.5 288
2019 03 16 16 00  1.5  1.5 12.9  0.2  2.9   W NNE      SWELL  9.3 278
2019 03 16 15 00  1.8  1.8 13.8  0.2  3.0 WNW   N      SWELL  9.7 285
2019 03 16 14 00  1.7  1.7 12.9  0.2  3.2 WNW NNW      SWELL  9.2 292
2019 03 16 13 00  1.7  1.7 13.8  0.3  4.3 WNW   W      SWELL  9.1 294
2019 03 16 12 00  1.7  1.7 12.9  0.3  3.2 WNW   N      SWELL  8.9 286
2019 03 16 11 00  1.9  1.9 11.4  0.3  2.9 WNW   N      SWELL  9.0 282
2019 03 16 10 00  2.0  2.0 13.8  0.3  3.6 WNW  NW      SWELL  9.4 292
2019 03 16 09 00  1.8  1.8 12.9  0.3  3.0 WNW   N      SWELL  8.9 287
2019 03 16 08 00  2.1  2.0 11.4  0.3  2.9 WNW NNE      SWELL  9.0 300
2019 03 16 07 00  2.0  2.0 11.4  0.3  4.0 WNW  NW      SWELL  9.2 291
2019 03 16 06 00  2.4  2.3 13.8  0.3  3.8 WNW WNW      SWELL 10.0 298
2019 03 16 05 00  2.3  2.2 11.4  0.3  4.0 WNW WNW      SWELL  9.9 300
2019 03 16 04 00  2.8  2.8 12.9  0.2  2.6 WNW   N      SWELL 10.6 291
2019 03 16 03 00  2.3  2.3 11.4  0.3  3.7 WNW WSW      SWELL  9.7 296
2019 03 16 02 00  2.2  2.2 11.4  0.3  3.6 WNW WSW      SWELL  9.9 289
2019 03 16 01 00  2.2  2.2 11.4  0.2  3.8 WNW WSW      SWELL  9.7 293
2019 03 16 00 00  2.1  2.1 12.1  0.2  3.6 WNW   W      SWELL  9.3 292
2019 03 15 23 00  2.0  2.0 12.1  0.3  4.3 WNW WSW      SWELL  9.1 291
2019 03 15 22 00  2.2  2.2 12.9  0.2  4.0 WNW   W      SWELL  9.7 292
2019 03 15 12 00  2.4  2.4 12.1  0.3  3.6 WNW   W      SWELL  9.2 296
2019 03 15 11 00  2.5  2.5 12.9  0.4  3.4 WNW   W      SWELL  8.7 295
2019 03 15 10 00  2.5  2.5 12.9  0.3  3.1 WNW   W      SWELL  8.9 296
2019 03 15 09 00  2.4  2.4 12.9  0.3  4.0 WNW   W      SWELL  8.7 293
2019 03 15 08 00  2.3  2.3 12.9  0.3  3.7 WNW   W      SWELL  8.6 284
